colocation,FCFS_tail,FCFS_throughput,FCFS_violation,SJF_tail,SJF_throughput,SJF_violation,EDF_tail,EDF_throughput,EDF_violation,Abacus_tail,Abacus_throughput,Abacus_violation
Res50+Res101,105.37427093505866,993,0.02100000000000002,132.79921829223628,920,0.19899999999999995,114.5685820007324,975,0.06599999999999995,84.35590278625487,998,0.0050000000000000044
Res50+Res152,168.61298797607424,955,0.10499999999999998,186.9695422363281,912,0.20599999999999996,181.4320434570312,897,0.20999999999999996,141.60496215820305,996,0.009000000000000008
Res50+IncepV3,99.74468994140625,1000,0.010000000000000009,122.30747848510742,950,0.14100000000000001,83.52313339233392,999,0.0040000000000000036,61.95668933868407,1000,0.0
Res50+VGG16,39.44295833587645,1000,0.0020000000000000018,53.78046218872067,999,0.016000000000000014,42.416126708984365,1000,0.0040000000000000036,38.73474784851072,999,0.0030000000000000027
Res50+VGG19,45.09545566558837,1000,0.0050000000000000044,57.944412231445305,997,0.030000000000000027,49.98187728881836,999,0.01100000000000001,41.63818592071532,998,0.0030000000000000027
Res50+Bert,79.17840759277344,997,0.020000000000000018,86.22474609374997,985,0.049000000000000044,70.66858634948723,996,0.01100000000000001,54.334251861572255,1000,0.0
Res101+Res152,184.37363220214846,889,0.21699999999999997,200.52357635498043,846,0.29400000000000004,187.15617172241213,850,0.28300000000000003,145.5997257995608,992,0.01100000000000001
Res101+IncepV3,168.00374603271484,952,0.09499999999999997,186.26854904174806,880,0.247,155.09538421630867,991,0.025000000000000022,75.924150390625,999,0.0010000000000000009
Res101+VGG16,82.43063789367673,998,0.006000000000000005,107.0439453125,987,0.04700000000000004,98.51771575927734,992,0.025000000000000022,61.43104125976562,1000,0.0
Res101+VGG19,76.59581321716307,1000,0.007000000000000006,106.14688529968262,936,0.18200000000000005,90.78100967407221,983,0.05400000000000005,81.8249008178711,991,0.02100000000000002
Res101+Bert,138.73893356323242,976,0.050000000000000044,153.12453857421875,968,0.08999999999999997,140.75018310546875,977,0.04500000000000004,86.11381340026854,1000,0.0
Res152+IncepV3,172.980979309082,894,0.21199999999999997,198.78191833496103,781,0.40700000000000003,176.19636291503906,800,0.33499999999999996,122.1809191894531,1000,0.0
Res152+VGG16,158.5932482910156,989,0.03700000000000003,186.30038177490232,899,0.21399999999999997,168.2443049621582,984,0.05800000000000005,139.6608923339844,993,0.01200000000000001
Res152+VGG19,168.49941635131836,976,0.05400000000000005,190.6884844970703,937,0.16800000000000004,181.93042816162108,859,0.252,104.40048408508301,1000,0.0
Res152+Bert,171.90414810180664,926,0.14700000000000002,184.89754882812503,880,0.23399999999999999,176.03210723876953,887,0.20299999999999996,123.38485046386718,999,0.0010000000000000009
IncepV3+VGG16,84.7939816284179,994,0.02200000000000002,96.72600555419922,989,0.04700000000000004,78.2206826019287,1000,0.009000000000000008,59.62843894958496,999,0.0020000000000000018
IncepV3+VGG19,89.36778678894042,996,0.026000000000000023,102.5055325317383,965,0.11199999999999999,77.36955680847161,996,0.01100000000000001,78.02007675170898,1000,0.008000000000000007
IncepV3+Bert,95.97523513793948,968,0.07399999999999995,100.47733688354492,951,0.11499999999999999,91.28442573547363,968,0.07399999999999995,72.29243515014647,1000,0.0050000000000000044
VGG16+VGG19,33.94196266174316,998,0.02200000000000002,35.13889789581299,998,0.026000000000000023,32.357516250610345,999,0.016000000000000014,25.494871139526374,868,0.134
VGG16+Bert,63.099702148437466,994,0.018000000000000016,72.81824874877925,982,0.061000000000000054,60.92127029418944,997,0.016000000000000014,49.22854431152342,997,0.0030000000000000027
VGG19+Bert,61.241334075927675,995,0.016000000000000014,67.51215667724613,991,0.03200000000000003,59.1447944641113,995,0.014000000000000012,51.349403381347656,995,0.0050000000000000044
